stop_id,stop_id_to,travel_duration
F01752,002133,47.40347951187325
002133,F01754,71.11986471770437
F01754,002133,71.11986471770437
002133,F01755,80.03798314274326
F01755,002133,80.03798314274326
002133,F01756,85.78673069187026
F01756,002133,85.78673069187026
002133,F01757,82.12302391226422
F01757,002133,82.12302391226422
002133,F01792,73.55456081617916
F01792,002133,73.55456081617916
002133,F02755,88.922041648614
F02755,002133,88.922041648614
002133,F02756,94.62818434011294
F02756,002133,94.62818434011294
002133,F02757,98.99899372189742
F02757,002133,98.99899372189742
002133,F02758,104.15088610310002
F02758,002133,104.15088610310002
002133,F02759,100.23063738324012
F02759,002133,100.23063738324012
002133,F02760,105.11047588513864
F02760,002133,105.11047588513864
002133,F02761,96.66321959124755
F02761,002133,96.66321959124755
002133,F02762,93.14957484130306
F02762,002133,93.14957484130306
002133,F02763,87.53479369706724
F02763,002133,87.53479369706724
002133,F02764,80.64230793332162
F02764,002133,80.64230793332162
002133,LM2OV1,55.829152485339335
LM2OV1,002133,55.829152485339335
002133,LM2OV2,55.829152485339335
LM2OV2,002133,55.829152485339335
002133,LM2OVA,71.16931533290914
LM2OVA,002133,71.16931533290914
002133,LM2OVB,72.12363198018393
LM2OVB,002133,72.12363198018393
002133,LM2OVC,52.53659784465886
LM2OVC,002133,52.53659784465886
002133,LM2OVD,57.73084537018622
LM2OVD,002133,57.73084537018622
002133,LM2OVE,71.9938855338298
LM2OVE,002133,71.9938855338298
003106,008018,93.1524262378503
008018,003106,93.1524262378503
003106,008020,92.30054431965337
008020,003106,92.30054431965337
003106,008021,70.45594866849615
008021,003106,70.45594866849615
003106,008022,79.54473416914063
008022,003106,79.54473416914063
003106,008023,80.74150525696005
008023,003106,80.74150525696005
003106,008024,87.68610014562749
008024,003106,87.68610014562749
003106,008025,74.480754310858
008025,003106,74.480754310858
003106,008026,83.43591358950577
008026,003106,83.43591358950577
003106,008028,88.9489215663821
008028,003106,88.9489215663821
003106,008029,67.90355005891172
008029,003106,67.90355005891172
003106,008030,76.05934341251366
008030,003106,76.05934341251366
003106,008031,84.84904710801594
008031,003106,84.84904710801594
003106,008164,82.36446551702069
008164,003106,82.36446551702069
003106,008165,72.22389950877749
008165,003106,72.22389950877749
003106,008222,32.30435982430721
008222,003106,32.30435982430721
003106,008382,59.20021569558508
008382,003106,59.20021569558508
003106,008383,55.307500730901616
008383,003106,55.307500730901616
003106,008942,44.56880839641043
008942,003106,44.56880839641043
