,stop_id,stop_name,stop_lat,stop_lon,clust,Node,Eigenvector Centrality,Degree Centrality,Closeness Centrality,Betweenness Centrality
2025,F01057,Vágány utca / Dózsa György út,47.518807,19.072898,2459,2459.0,0.0745669578989829,0.0006958942240779401,0.06251810640873537,0.0037050056302503965
2026,F01058,Vágány utca / Dózsa György út,47.518789,19.073164,2460,2460.0,0.0691881282646358,0.00046392948271862676,0.06177959128594179,0.0
2027,F01059,Vágány utca / Dózsa György út,47.518978,19.072009,2461,2461.0,0.059596145836222233,0.0006958942240779401,0.06185114326514838,0.008036363599976356
2028,F01060,Vágány utca / Dózsa György út,47.519635,19.070934,2462,2462.0,0.05675036699788435,0.00046392948271862676,0.0618329876483324,0.004129829782907575
2029,F01061,Dévai utca,47.518494,19.064667,2449,2449.0,6.369035277157929e-12,0.00023196474135931338,0.030764729653325364,0.0
2030,F01062,Dévai utca,47.51871,19.065238,2447,2447.0,0.0004314169121325381,0.00046392948271862676,0.0559547339342029,0.0027865479439212627
2034,F01066,Csanády utca (Lehel tér M),47.515338,19.060178,2430,2430.0,0.00043382423796440504,0.00046392948271862676,0.055753156034339946,0.00075348878436835
2035,F01067,Csanády utca (Lehel tér M),47.515987,19.058625,2424,2424.0,0.0004314288904239314,0.00046392948271862676,0.055727753723355596,0.0010989469373473269
2036,F01068,Ferdinánd híd (Izabella utca),47.510112,19.062341,2505,2505.0,0.00015557375211558457,0.00046392948271862676,0.05395384819260333,0.0006851368923939627
2037,F01069,Ferdinánd híd (Izabella utca),47.511695,19.062594,2503,2503.0,0.00014705100396231053,0.00046392948271862676,0.054180512640155915,0.0014693039761734116
2038,F01070,Ferdinánd híd (Izabella utca),47.511542,19.062713,2504,2504.0,0.0001524383293919542,0.00046392948271862676,0.05418593262712956,0.0014855625497058604
2039,F01071,Ferdinánd híd (Izabella utca),47.511101,19.062753,2501,2501.0,0.00010581998322274713,0.00046392948271862676,0.052730796255992425,0.00036643952257278467
2040,F01072,Ferdinánd híd (Izabella utca),47.511011,19.06266,2502,2502.0,0.00026324155313940597,0.0006958942240779401,0.055804030194321834,0.002261705604744378
2041,F01073,Munkácsy Mihály utca,47.515138,19.069963,2508,2508.0,1.3382078869891268e-05,0.00046392948271862676,0.05037613609660796,0.0008580098575279655
2042,F01074,Rippl-Rónai utca,47.514904,19.072299,2469,2469.0,1.332586212755589e-05,0.00046392948271862676,0.05036944399462506,0.0008459887095088882
2043,F01075,Andrássy út (Opera M),47.503133,19.060919,2547,2547.0,8.846253207104036e-102,0.00046392948271862676,0.0006598108198664914,3.013927033902912e-06
2044,F01076,Andrássy út (Opera M),47.503402,19.060269,2545,2545.0,2.657773199985556e-07,0.00046392948271862676,0.04489084859328698,0.005206774231569702
2045,F01077,Opera M,47.503142,19.060149,2553,2553.0,0.0025154092842956687,0.00046392948271862676,0.06121999895993205,0.00019174008548323773
2046,F01078,Opera M,47.502657,19.059631,2553,2553.0,0.0025154092842956687,0.00046392948271862676,0.06121999895993205,0.00019174008548323773
2049,F01081,Oktogon M,47.505561,19.062871,2542,2542.0,0.00889839004245413,0.001159823706796567,0.061848116588643705,0.05972963255397349
2050,F01082,Oktogon M,47.505939,19.062406,2542,2542.0,0.00889839004245413,0.001159823706796567,0.061848116588643705,0.05972963255397349
2056,F01088,Oktogon M,47.504796,19.062525,2542,2542.0,0.00889839004245413,0.001159823706796567,0.061848116588643705,0.05972963255397349
2057,F01089,Oktogon M,47.50418,19.061935,2542,2542.0,0.00889839004245413,0.001159823706796567,0.061848116588643705,0.05972963255397349
2058,F01090,Andrássy út (Vörösmarty utca M),47.508294,19.066363,2492,2492.0,0.0005073784884896038,0.00046392948271862676,0.054917379540045934,0.0007349230576787666
2059,F01091,Andrássy út (Vörösmarty utca M),47.507449,19.067716,2491,2491.0,7.353413025556136e-05,0.0006958942240779401,0.05283219032972064,0.0008364299028947802
2062,F01094,Kodály körönd M,47.509518,19.069616,2522,2522.0,0.012795647464344806,0.00046392948271862676,0.06004308279756435,0.01918657227628769
2065,F01097,Kodály körönd M,47.509896,19.070413,2522,2522.0,0.012795647464344806,0.00046392948271862676,0.06004308279756435,0.01918657227628769
2066,F01098,Bajza utca M,47.511568,19.072936,2515,2515.0,0.056824376110351474,0.00046392948271862676,0.06279559191771238,0.019443000964420788
2067,F01099,Bajza utca M,47.510921,19.071727,2515,2515.0,0.056824376110351474,0.00046392948271862676,0.06279559191771238,0.019443000964420788
2072,F01104,Bajza utca,47.51441,19.06829,2506,2506.0,9.593692128724375e-06,0.00046392948271862676,0.051032458520079566,0.0009478669936973721
2073,F01105,Bajza utca,47.514851,19.06829,2507,2507.0,9.850967144808508e-06,0.00046392948271862676,0.05103864094202976,0.0009596226290967956
2074,F01106,Szinyei Merse utca,47.513169,19.065037,2499,2499.0,3.2671470884960486e-05,0.00046392948271862676,0.05198399533285884,0.001148245372750486
2075,F01107,Szinyei Merse utca,47.513035,19.065196,2500,2500.0,3.384876916790341e-05,0.00046392948271862676,0.051989697598872786,0.001162111947573721
2077,F01109,Nyár utca,47.498554,19.06551,2313,2313.0,1.6417435883712353e-05,0.00023196474135931338,0.04608745044527709,0.0
2078,F01110,Nagy Diófa utca,47.496278,19.065642,2312,2312.0,0.06067209404774483,0.00046392948271862676,0.06431994292762326,0.00043508189539412747
2079,F01111,Wesselényi utca / Erzsébet körút,47.500325,19.068948,2179,2179.0,0.06107679516985783,0.00046392948271862676,0.06564509410636066,0.020410105380917122
